State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights
Assam,Chilly,High,25850,Cost Level: Low,Local Cuisine: 1037 INR per day,Homestay: 3204 INR per night,"Majuli Island, Kaziranga National Park","Boating, River Rafting, Trekking",Moderate,3.8/5,Monsoon,Assamese,Safe for Solo Travelers,Yes,Art Exhibitions
Nagaland,Chilly,Low,7056,Cost Level: Low,Local Cuisine: 997 INR per day,Luxury Resort: 1615 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Boating",Moderate,3.5/5,Monsoon,"English, Nagamese",Very Safe,Yes,Art Exhibitions
Meghalaya,Chilly,Low,20332,Cost Level: Low,Local Cuisine: 1916 INR per day,Luxury Resort: 2034 INR per night,"Living Root Bridges, Cherrapunji",River Rafting,Moderate,4.3/5,Summer,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Tripura,Pleasant,Medium,18486,Cost Level: High,Local Cuisine: 872 INR per day,3-star: 4594 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Trekking, River Rafting",Low,3.6/5,Winter,"Bengali, Kokborok",Very Safe,No,Local Traditions
Meghalaya,Sunny,Medium,42905,Cost Level: High,Local Cuisine: 939 INR per day,Homestay: 1142 INR per night,"Living Root Bridges, Cherrapunji",Cultural Tours,Low,4.2/5,Winter,"Khasi, Garo",Moderately Safe,Yes,Local Traditions
Mizoram,Chilly,Low,46297,Cost Level: High,Local Cuisine: 1962 INR per day,3-star: 2867 INR per night,"Phawngpui National Park, Vantawng Falls","Cultural Tours, Trekking",Low,4.3/5,Winter,Mizo,Very Safe,Yes,Local Traditions
Assam,Sunny,Medium,26686,Cost Level: Low,Local Cuisine: 644 INR per day,Luxury Resort: 3872 INR per night,"Kaziranga National Park, Majuli Island","Wildlife Safari, Boating, Cultural Tours",Low,3.6/5,Summer,Assamese,Moderately Safe,No,Festival
Mizoram,Rainy,Low,28027,Cost Level: Low,Local Cuisine: 1061 INR per day,Luxury Resort: 1218 INR per night,"Vantawng Falls, Phawngpui National Park",River Rafting,Moderate,4.1/5,Winter,Mizo,Very Safe,Yes,Local Traditions
Meghalaya,Chilly,Low,15601,Cost Level: High,Local Cuisine: 793 INR per day,3-star: 3549 INR per night,"Cherrapunji, Living Root Bridges",River Rafting,High,4.3/5,Winter,"Khasi, Garo",Very Safe,Yes,Art Exhibitions
Arunachal Pradesh,Sunny,High,45759,Cost Level: High,Local Cuisine: 1286 INR per day,Luxury Resort: 2277 INR per night,"Ziro Valley, Tawang Monastery",River Rafting,Low,4.3/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Local Traditions
Meghalaya,Chilly,Low,40563,Cost Level: Low,Local Cuisine: 819 INR per day,Homestay: 4995 INR per night,"Living Root Bridges, Cherrapunji","Cultural Tours, River Rafting, Trekking",Moderate,4.6/5,Winter,"Khasi, Garo",Safe for Solo Travelers,No,Local Traditions
Mizoram,Rainy,High,29756,Cost Level: Low,Local Cuisine: 1506 INR per day,Luxury Resort: 1861 INR per night,"Vantawng Falls, Phawngpui National Park","Trekking, Boating, River Rafting",Moderate,4.8/5,Monsoon,Mizo,Very Safe,No,Art Exhibitions
Nagaland,Sunny,Low,5727,Cost Level: High,Local Cuisine: 870 INR per day,Luxury Resort: 2780 INR per night,"Dzükou Valley, Kohima War Cemetery",Wildlife Safari,Moderate,4.9/5,Summer,"English, Nagamese",Very Safe,No,Festival
Mizoram,Chilly,High,16966,Cost Level: High,Local Cuisine: 1003 INR per day,Homestay: 1052 INR per night,"Vantawng Falls, Phawngpui National Park","Trekking, River Rafting",Low,4.4/5,Summer,Mizo,Very Safe,Yes,Art Exhibitions
Nagaland,Chilly,Medium,10502,Cost Level: Low,Local Cuisine: 716 INR per day,Luxury Resort: 3575 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, River Rafting, Cultural Tours",Moderate,3.8/5,Winter,"English, Nagamese",Moderately Safe,No,Festival
Mizoram,Chilly,High,30527,Cost Level: Low,Local Cuisine: 1578 INR per day,Luxury Resort: 3595 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Boating, Trekking",Moderate,4.8/5,Monsoon,Mizo,Moderately Safe,Yes,Festival
Manipur,Sunny,Low,26162,Cost Level: Low,Local Cuisine: 654 INR per day,Luxury Resort: 2516 INR per night,"Kangla Fort, Loktak Lake",Trekking,Moderate,3.7/5,Summer,Manipuri,Very Safe,Yes,Festival
Arunachal Pradesh,Sunny,High,7111,Cost Level: High,Local Cuisine: 773 INR per day,3-star: 3588 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, Boating",Low,3.9/5,Winter,"Hindi, English",Very Safe,No,Local Traditions
Tripura,Sunny,Low,26524,Cost Level: Low,Local Cuisine: 1744 INR per day,Homestay: 4042 INR per night,"Neermahal, Ujjayanta Palace",Cultural Tours,High,4.5/5,Winter,"Bengali, Kokborok",Moderately Safe,No,Festival
Nagaland,Rainy,Low,40146,Cost Level: High,Local Cuisine: 1424 INR per day,Luxury Resort: 1921 INR per night,"Dzükou Valley, Kohima War Cemetery",Boating,Low,4.2/5,Monsoon,"English, Nagamese",Moderately Safe,Yes,Local Traditions
Mizoram,Rainy,High,31575,Cost Level: High,Local Cuisine: 1629 INR per day,Homestay: 1149 INR per night,"Phawngpui National Park, Vantawng Falls",Boating,High,4.1/5,Monsoon,Mizo,Very Safe,No,Festival
Meghalaya,Rainy,Medium,27584,Cost Level: Low,Local Cuisine: 1018 INR per day,Homestay: 4393 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, Wildlife Safari, Boating",Moderate,4.5/5,Summer,"Khasi, Garo",Very Safe,Yes,Local Traditions
Nagaland,Rainy,Low,12212,Cost Level: High,Local Cuisine: 882 INR per day,3-star: 1182 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, Cultural Tours",Low,5.0/5,Winter,"English, Nagamese",Very Safe,No,Festival
Tripura,Sunny,High,12717,Cost Level: Low,Local Cuisine: 530 INR per day,Homestay: 3058 INR per night,"Ujjayanta Palace, Neermahal","Boating, Cultural Tours, Wildlife Safari",Low,4.8/5,Summer,"Bengali, Kokborok",Very Safe,No,Festival
Manipur,Sunny,Low,15693,Cost Level: High,Local Cuisine: 1118 INR per day,3-star: 4423 INR per night,"Kangla Fort, Loktak Lake",Trekking,Moderate,4.7/5,Winter,Manipuri,Safe for Solo Travelers,Yes,Festival
Nagaland,Rainy,Low,39871,Cost Level: Low,Local Cuisine: 1658 INR per day,Luxury Resort: 1987 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Boating, Trekking",High,4.2/5,Summer,"English, Nagamese",Safe for Solo Travelers,No,Art Exhibitions
Tripura,Rainy,Low,11247,Cost Level: Low,Local Cuisine: 1378 INR per day,3-star: 4132 INR per night,"Ujjayanta Palace, Neermahal","River Rafting, Wildlife Safari, Trekking",High,5.0/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Art Exhibitions
Nagaland,Pleasant,High,11635,Cost Level: High,Local Cuisine: 886 INR per day,Luxury Resort: 2421 INR per night,"Kohima War Cemetery, Dzükou Valley",Wildlife Safari,Moderate,3.5/5,Summer,"English, Nagamese",Safe for Solo Travelers,No,Art Exhibitions
Assam,Rainy,Medium,30894,Cost Level: High,Local Cuisine: 1043 INR per day,Homestay: 3799 INR per night,"Majuli Island, Kaziranga National Park","Trekking, River Rafting, Boating",High,4.9/5,Monsoon,Assamese,Very Safe,No,Local Traditions
Assam,Chilly,Low,5676,Cost Level: High,Local Cuisine: 1052 INR per day,3-star: 2635 INR per night,"Majuli Island, Kaziranga National Park","Trekking, River Rafting, Wildlife Safari",Moderate,3.9/5,Monsoon,Assamese,Safe for Solo Travelers,No,Festival
Tripura,Chilly,High,20654,Cost Level: High,Local Cuisine: 500 INR per day,3-star: 3176 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Trekking",Low,4.8/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Art Exhibitions
Manipur,Sunny,Medium,10406,Cost Level: Low,Local Cuisine: 656 INR per day,Luxury Resort: 1247 INR per night,"Loktak Lake, Kangla Fort","Trekking, Cultural Tours, Boating",Moderate,3.7/5,Monsoon,Manipuri,Very Safe,No,Festival
Manipur,Rainy,Medium,47577,Cost Level: Low,Local Cuisine: 988 INR per day,Luxury Resort: 4202 INR per night,"Loktak Lake, Kangla Fort",Trekking,Low,3.7/5,Summer,Manipuri,Very Safe,Yes,Art Exhibitions
Arunachal Pradesh,Rainy,Low,19248,Cost Level: Low,Local Cuisine: 1873 INR per day,3-star: 1939 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, River Rafting, Wildlife Safari",Moderate,4.7/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Local Traditions
Assam,Pleasant,Low,5323,Cost Level: Low,Local Cuisine: 1823 INR per day,Luxury Resort: 3951 INR per night,"Majuli Island, Kaziranga National Park",Cultural Tours,Moderate,3.8/5,Summer,Assamese,Very Safe,No,Art Exhibitions
Arunachal Pradesh,Chilly,High,20392,Cost Level: Low,Local Cuisine: 1706 INR per day,Homestay: 4120 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Wildlife Safari, Cultural Tours",High,3.7/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Local Traditions
Assam,Pleasant,High,21577,Cost Level: High,Local Cuisine: 1945 INR per day,Homestay: 1254 INR per night,"Kaziranga National Park, Majuli Island","Trekking, Wildlife Safari",High,4.2/5,Winter,Assamese,Safe for Solo Travelers,No,Local Traditions
Arunachal Pradesh,Rainy,Low,31442,Cost Level: High,Local Cuisine: 516 INR per day,3-star: 3981 INR per night,"Ziro Valley, Tawang Monastery","Boating, Trekking",Low,4.8/5,Monsoon,"Hindi, English",Moderately Safe,Yes,Local Traditions
Nagaland,Pleasant,Low,21878,Cost Level: High,Local Cuisine: 951 INR per day,3-star: 3588 INR per night,"Dzükou Valley, Kohima War Cemetery","Boating, Wildlife Safari",Low,3.6/5,Winter,"English, Nagamese",Moderately Safe,Yes,Festival
Assam,Pleasant,Medium,21891,Cost Level: High,Local Cuisine: 985 INR per day,Luxury Resort: 3769 INR per night,"Majuli Island, Kaziranga National Park","Trekking, River Rafting, Wildlife Safari",High,4.7/5,Monsoon,Assamese,Moderately Safe,Yes,Art Exhibitions
Meghalaya,Pleasant,Low,12622,Cost Level: High,Local Cuisine: 678 INR per day,Luxury Resort: 1185 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Cultural Tours, River Rafting",High,4.6/5,Winter,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Manipur,Chilly,Low,22208,Cost Level: Low,Local Cuisine: 904 INR per day,Luxury Resort: 4282 INR per night,"Loktak Lake, Kangla Fort",Boating,Moderate,4.0/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Art Exhibitions
Meghalaya,Sunny,Medium,15684,Cost Level: High,Local Cuisine: 1371 INR per day,Luxury Resort: 3344 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, Wildlife Safari",Moderate,4.2/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Nagaland,Rainy,High,49561,Cost Level: Low,Local Cuisine: 695 INR per day,Homestay: 3358 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Trekking, Boating",High,4.2/5,Winter,"English, Nagamese",Very Safe,No,Local Traditions
Manipur,Rainy,High,5021,Cost Level: High,Local Cuisine: 1330 INR per day,Homestay: 1093 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, Trekking",Low,4.8/5,Summer,Manipuri,Safe for Solo Travelers,No,Art Exhibitions
Manipur,Pleasant,High,37165,Cost Level: Low,Local Cuisine: 1129 INR per day,Homestay: 3646 INR per night,"Loktak Lake, Kangla Fort","Boating, Trekking, River Rafting",Moderate,3.6/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Festival
Tripura,Chilly,High,46321,Cost Level: High,Local Cuisine: 1970 INR per day,Luxury Resort: 3993 INR per night,"Neermahal, Ujjayanta Palace",Wildlife Safari,Low,4.6/5,Summer,"Bengali, Kokborok",Moderately Safe,Yes,Festival
Assam,Rainy,Low,20613,Cost Level: High,Local Cuisine: 1897 INR per day,3-star: 4614 INR per night,"Majuli Island, Kaziranga National Park",Cultural Tours,High,3.7/5,Monsoon,Assamese,Safe for Solo Travelers,No,Art Exhibitions
Nagaland,Sunny,Medium,29141,Cost Level: High,Local Cuisine: 1490 INR per day,Homestay: 2698 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Boating, Wildlife Safari",Moderate,4.0/5,Winter,"English, Nagamese",Very Safe,Yes,Festival
Arunachal Pradesh,Rainy,Low,17164,Cost Level: High,Local Cuisine: 1575 INR per day,Luxury Resort: 3574 INR per night,"Ziro Valley, Tawang Monastery","Boating, Wildlife Safari",Low,3.7/5,Monsoon,"Hindi, English",Moderately Safe,Yes,Art Exhibitions
Nagaland,Rainy,Low,40899,Cost Level: High,Local Cuisine: 803 INR per day,Luxury Resort: 4737 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Cultural Tours",Moderate,4.1/5,Winter,"English, Nagamese",Safe for Solo Travelers,Yes,Art Exhibitions
Arunachal Pradesh,Pleasant,Medium,17422,Cost Level: Low,Local Cuisine: 1976 INR per day,3-star: 2536 INR per night,"Ziro Valley, Tawang Monastery",Boating,Moderate,4.1/5,Winter,"Hindi, English",Moderately Safe,No,Art Exhibitions
Arunachal Pradesh,Chilly,High,42338,Cost Level: Low,Local Cuisine: 626 INR per day,Luxury Resort: 2203 INR per night,"Ziro Valley, Tawang Monastery","Boating, Cultural Tours",High,4.1/5,Winter,"Hindi, English",Very Safe,Yes,Art Exhibitions
Manipur,Pleasant,High,47479,Cost Level: Low,Local Cuisine: 1772 INR per day,3-star: 1084 INR per night,"Kangla Fort, Loktak Lake","Trekking, Boating, Wildlife Safari",Moderate,4.4/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Local Traditions
Mizoram,Rainy,Low,38172,Cost Level: High,Local Cuisine: 807 INR per day,3-star: 2069 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, Cultural Tours, River Rafting",Moderate,3.6/5,Monsoon,Mizo,Moderately Safe,Yes,Art Exhibitions
Manipur,Rainy,Low,26701,Cost Level: High,Local Cuisine: 1564 INR per day,3-star: 3400 INR per night,"Loktak Lake, Kangla Fort","Boating, River Rafting",High,4.0/5,Monsoon,Manipuri,Very Safe,Yes,Art Exhibitions
Arunachal Pradesh,Pleasant,Low,49349,Cost Level: Low,Local Cuisine: 512 INR per day,Homestay: 4433 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, Boating, Wildlife Safari",Moderate,4.1/5,Monsoon,"Hindi, English",Very Safe,Yes,Festival
Mizoram,Chilly,Low,35186,Cost Level: High,Local Cuisine: 1560 INR per day,Homestay: 4063 INR per night,"Phawngpui National Park, Vantawng Falls",Wildlife Safari,Moderate,3.9/5,Summer,Mizo,Moderately Safe,No,Local Traditions
Nagaland,Chilly,Medium,24593,Cost Level: High,Local Cuisine: 682 INR per day,Luxury Resort: 1114 INR per night,"Kohima War Cemetery, Dzükou Valley",Cultural Tours,High,3.8/5,Winter,"English, Nagamese",Moderately Safe,Yes,Festival
Arunachal Pradesh,Sunny,Medium,12337,Cost Level: Low,Local Cuisine: 1567 INR per day,3-star: 2612 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Trekking",High,3.6/5,Winter,"Hindi, English",Moderately Safe,No,Festival
Nagaland,Chilly,Low,10506,Cost Level: Low,Local Cuisine: 689 INR per day,Homestay: 3535 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Cultural Tours, Wildlife Safari",Low,4.2/5,Monsoon,"English, Nagamese",Very Safe,Yes,Festival
Nagaland,Chilly,Medium,10564,Cost Level: High,Local Cuisine: 1599 INR per day,Luxury Resort: 3041 INR per night,"Kohima War Cemetery, Dzükou Valley",River Rafting,High,3.9/5,Monsoon,"English, Nagamese",Moderately Safe,No,Festival
Arunachal Pradesh,Sunny,High,12265,Cost Level: High,Local Cuisine: 1559 INR per day,Luxury Resort: 3561 INR per night,"Tawang Monastery, Ziro Valley","Trekking, Cultural Tours, Boating",Low,4.2/5,Summer,"Hindi, English",Safe for Solo Travelers,Yes,Festival
Nagaland,Pleasant,Medium,49398,Cost Level: High,Local Cuisine: 847 INR per day,3-star: 1496 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, Cultural Tours",High,3.6/5,Summer,"English, Nagamese",Moderately Safe,Yes,Festival
Manipur,Rainy,Low,45474,Cost Level: Low,Local Cuisine: 924 INR per day,Luxury Resort: 3581 INR per night,"Loktak Lake, Kangla Fort",Cultural Tours,Moderate,4.3/5,Summer,Manipuri,Very Safe,Yes,Local Traditions
Assam,Chilly,Low,8406,Cost Level: Low,Local Cuisine: 552 INR per day,Homestay: 4156 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Boating",High,3.8/5,Winter,Assamese,Very Safe,Yes,Festival
Nagaland,Rainy,Medium,25498,Cost Level: High,Local Cuisine: 1275 INR per day,Luxury Resort: 1463 INR per night,"Dzükou Valley, Kohima War Cemetery",River Rafting,Moderate,4.5/5,Summer,"English, Nagamese",Moderately Safe,No,Local Traditions
Mizoram,Rainy,High,9210,Cost Level: Low,Local Cuisine: 1491 INR per day,Luxury Resort: 3110 INR per night,"Vantawng Falls, Phawngpui National Park",Cultural Tours,High,3.9/5,Winter,Mizo,Safe for Solo Travelers,No,Art Exhibitions
Assam,Rainy,Low,28002,Cost Level: High,Local Cuisine: 1649 INR per day,Homestay: 1818 INR per night,"Kaziranga National Park, Majuli Island",Boating,High,4.2/5,Summer,Assamese,Moderately Safe,Yes,Local Traditions
Mizoram,Chilly,Low,5650,Cost Level: Low,Local Cuisine: 791 INR per day,Luxury Resort: 4744 INR per night,"Vantawng Falls, Phawngpui National Park","Boating, River Rafting",Low,4.4/5,Monsoon,Mizo,Safe for Solo Travelers,Yes,Local Traditions
Manipur,Chilly,High,25078,Cost Level: High,Local Cuisine: 1347 INR per day,Luxury Resort: 1779 INR per night,"Loktak Lake, Kangla Fort","River Rafting, Trekking, Wildlife Safari",Moderate,3.8/5,Summer,Manipuri,Moderately Safe,No,Local Traditions
Mizoram,Chilly,Medium,40483,Cost Level: High,Local Cuisine: 703 INR per day,Luxury Resort: 2006 INR per night,"Vantawng Falls, Phawngpui National Park","Boating, Wildlife Safari, Trekking",Low,4.6/5,Winter,Mizo,Moderately Safe,Yes,Festival
Meghalaya,Pleasant,High,47023,Cost Level: Low,Local Cuisine: 1171 INR per day,3-star: 1105 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Wildlife Safari, Trekking",Low,3.9/5,Winter,"Khasi, Garo",Very Safe,No,Art Exhibitions
Arunachal Pradesh,Rainy,Medium,16466,Cost Level: Low,Local Cuisine: 1934 INR per day,Luxury Resort: 1465 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Wildlife Safari",Moderate,5.0/5,Summer,"Hindi, English",Safe for Solo Travelers,Yes,Local Traditions
Nagaland,Chilly,High,39732,Cost Level: High,Local Cuisine: 1360 INR per day,3-star: 2075 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, Boating, Wildlife Safari",High,4.6/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,Yes,Festival
Tripura,Pleasant,High,37492,Cost Level: Low,Local Cuisine: 798 INR per day,Homestay: 1064 INR per night,"Ujjayanta Palace, Neermahal",Boating,Low,4.1/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Local Traditions
Manipur,Pleasant,Medium,12539,Cost Level: Low,Local Cuisine: 690 INR per day,Homestay: 4870 INR per night,"Kangla Fort, Loktak Lake","Cultural Tours, Boating, Trekking",Moderate,4.3/5,Winter,Manipuri,Safe for Solo Travelers,No,Art Exhibitions
Meghalaya,Rainy,Medium,19558,Cost Level: High,Local Cuisine: 1461 INR per day,Homestay: 3098 INR per night,"Living Root Bridges, Cherrapunji",Cultural Tours,Moderate,3.5/5,Monsoon,"Khasi, Garo",Moderately Safe,Yes,Art Exhibitions
Nagaland,Pleasant,Low,17293,Cost Level: Low,Local Cuisine: 1888 INR per day,Luxury Resort: 3524 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Cultural Tours",Low,3.8/5,Monsoon,"English, Nagamese",Moderately Safe,No,Art Exhibitions
Manipur,Chilly,High,29790,Cost Level: High,Local Cuisine: 708 INR per day,Luxury Resort: 3706 INR per night,"Kangla Fort, Loktak Lake","River Rafting, Trekking",Low,4.1/5,Winter,Manipuri,Moderately Safe,No,Local Traditions
Nagaland,Sunny,Medium,6737,Cost Level: High,Local Cuisine: 989 INR per day,3-star: 1932 INR per night,"Dzükou Valley, Kohima War Cemetery","Boating, Cultural Tours",Low,4.6/5,Summer,"English, Nagamese",Very Safe,No,Art Exhibitions
Mizoram,Chilly,Medium,5958,Cost Level: Low,Local Cuisine: 1431 INR per day,3-star: 2544 INR per night,"Vantawng Falls, Phawngpui National Park",Wildlife Safari,Moderate,3.6/5,Summer,Mizo,Very Safe,Yes,Local Traditions
Tripura,Pleasant,High,18886,Cost Level: Low,Local Cuisine: 706 INR per day,Homestay: 2930 INR per night,"Ujjayanta Palace, Neermahal","Boating, Cultural Tours, River Rafting",Low,4.7/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Local Traditions
Meghalaya,Chilly,Medium,9783,Cost Level: Low,Local Cuisine: 1896 INR per day,Homestay: 2383 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Cultural Tours",Low,4.9/5,Summer,"Khasi, Garo",Moderately Safe,No,Art Exhibitions
Mizoram,Sunny,High,12218,Cost Level: Low,Local Cuisine: 769 INR per day,3-star: 3381 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, Boating",Moderate,3.6/5,Monsoon,Mizo,Very Safe,Yes,Art Exhibitions
Nagaland,Pleasant,Low,39021,Cost Level: High,Local Cuisine: 1379 INR per day,Homestay: 2789 INR per night,"Dzükou Valley, Kohima War Cemetery",Trekking,Low,4.5/5,Summer,"English, Nagamese",Very Safe,No,Festival
Mizoram,Rainy,High,48782,Cost Level: Low,Local Cuisine: 753 INR per day,3-star: 2969 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Cultural Tours, River Rafting",Moderate,4.9/5,Winter,Mizo,Very Safe,No,Art Exhibitions
Meghalaya,Sunny,Low,17679,Cost Level: Low,Local Cuisine: 1397 INR per day,Luxury Resort: 1220 INR per night,"Cherrapunji, Living Root Bridges","River Rafting, Boating",Moderate,3.9/5,Summer,"Khasi, Garo",Very Safe,Yes,Art Exhibitions
Nagaland,Sunny,Low,38590,Cost Level: High,Local Cuisine: 1907 INR per day,Luxury Resort: 3982 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, Boating",Moderate,4.1/5,Summer,"English, Nagamese",Moderately Safe,Yes,Local Traditions
Arunachal Pradesh,Chilly,High,19793,Cost Level: Low,Local Cuisine: 1087 INR per day,3-star: 3440 INR per night,"Ziro Valley, Tawang Monastery",River Rafting,Low,4.4/5,Winter,"Hindi, English",Safe for Solo Travelers,Yes,Festival
Meghalaya,Rainy,High,46952,Cost Level: High,Local Cuisine: 1436 INR per day,Homestay: 3890 INR per night,"Living Root Bridges, Cherrapunji",Trekking,High,3.7/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,Yes,Art Exhibitions
Assam,Chilly,High,6826,Cost Level: High,Local Cuisine: 730 INR per day,Luxury Resort: 2628 INR per night,"Kaziranga National Park, Majuli Island",Wildlife Safari,Moderate,4.2/5,Summer,Assamese,Very Safe,No,Art Exhibitions
Mizoram,Chilly,Medium,22931,Cost Level: High,Local Cuisine: 1413 INR per day,Homestay: 2380 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, Boating",Moderate,4.6/5,Monsoon,Mizo,Safe for Solo Travelers,Yes,Local Traditions
Meghalaya,Sunny,High,45514,Cost Level: High,Local Cuisine: 1739 INR per day,Luxury Resort: 2052 INR per night,"Living Root Bridges, Cherrapunji",River Rafting,High,3.9/5,Winter,"Khasi, Garo",Moderately Safe,No,Art Exhibitions
Tripura,Chilly,Medium,45725,Cost Level: Low,Local Cuisine: 1467 INR per day,Homestay: 1592 INR per night,"Neermahal, Ujjayanta Palace","Wildlife Safari, Cultural Tours",Low,3.6/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Festival
Nagaland,Chilly,High,39883,Cost Level: Low,Local Cuisine: 1111 INR per day,Luxury Resort: 1306 INR per night,"Kohima War Cemetery, Dzükou Valley","Cultural Tours, Boating",Low,4.8/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,No,Local Traditions
Tripura,Chilly,High,30419,Cost Level: Low,Local Cuisine: 629 INR per day,Homestay: 2292 INR per night,"Ujjayanta Palace, Neermahal",Wildlife Safari,Low,4.2/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions
Arunachal Pradesh,Sunny,Low,43909,Cost Level: High,Local Cuisine: 1711 INR per day,3-star: 2434 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Boating, Cultural Tours",Low,4.1/5,Summer,"Hindi, English",Safe for Solo Travelers,No,Festival
Tripura,Pleasant,Low,5332,Cost Level: Low,Local Cuisine: 1955 INR per day,Luxury Resort: 1434 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Wildlife Safari, Trekking",Low,3.5/5,Summer,"Bengali, Kokborok",Moderately Safe,Yes,Art Exhibitions
Nagaland,Chilly,High,36948,Cost Level: High,Local Cuisine: 1187 INR per day,3-star: 4092 INR per night,"Dzükou Valley, Kohima War Cemetery","Boating, River Rafting, Wildlife Safari",High,3.7/5,Summer,"English, Nagamese",Very Safe,No,Art Exhibitions
Tripura,Rainy,Low,27336,Cost Level: Low,Local Cuisine: 1277 INR per day,3-star: 3508 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Trekking",High,4.7/5,Winter,"Bengali, Kokborok",Very Safe,No,Art Exhibitions
Manipur,Rainy,High,9710,Cost Level: Low,Local Cuisine: 680 INR per day,Homestay: 2385 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, River Rafting",High,3.7/5,Summer,Manipuri,Safe for Solo Travelers,Yes,Festival
Manipur,Chilly,Medium,12971,Cost Level: High,Local Cuisine: 933 INR per day,Homestay: 3814 INR per night,"Kangla Fort, Loktak Lake","Cultural Tours, Trekking",High,3.8/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Art Exhibitions
Mizoram,Rainy,High,11995,Cost Level: Low,Local Cuisine: 571 INR per day,3-star: 4926 INR per night,"Phawngpui National Park, Vantawng Falls","Boating, Trekking, Wildlife Safari",High,3.5/5,Summer,Mizo,Moderately Safe,No,Art Exhibitions
Mizoram,Sunny,Low,49045,Cost Level: Low,Local Cuisine: 593 INR per day,Homestay: 1161 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Cultural Tours, Trekking",High,4.4/5,Monsoon,Mizo,Very Safe,No,Festival
Meghalaya,Sunny,Low,9636,Cost Level: High,Local Cuisine: 1051 INR per day,Luxury Resort: 4228 INR per night,"Living Root Bridges, Cherrapunji","Cultural Tours, Trekking",Moderate,3.6/5,Summer,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Tripura,Sunny,Medium,37956,Cost Level: High,Local Cuisine: 1316 INR per day,Luxury Resort: 1857 INR per night,"Neermahal, Ujjayanta Palace",Trekking,High,4.8/5,Monsoon,"Bengali, Kokborok",Very Safe,No,Festival
